Date,Name,NAV
12/10/2012,Fidelity Index World P Acc,0.81261,
12/11/2012,Fidelity Index World P Acc,0.81667,
12/12/2012,Fidelity Index World P Acc,0.8183,
12/13/2012,Fidelity Index World P Acc,0.81911,
12/14/2012,Fidelity Index World P Acc,0.81667,
12/17/2012,Fidelity Index World P Acc,0.81115,
12/18/2012,Fidelity Index World P Acc,0.82074,
12/19/2012,Fidelity Index World P Acc,0.82318,
12/20/2012,Fidelity Index World P Acc,0.82318,
12/21/2012,Fidelity Index World P Acc,0.81749,
12/24/2012,Fidelity Index World P Acc,0.82318,
12/27/2012,Fidelity Index World P Acc,0.82155,
12/28/2012,Fidelity Index World P Acc,0.82155,
12/31/2012,Fidelity Index World P Acc,0.81424,
01/02/2013,Fidelity Index World P Acc,0.8313,
01/03/2013,Fidelity Index World P Acc,0.83862,
01/04/2013,Fidelity Index World P Acc,0.84349,
01/07/2013,Fidelity Index World P Acc,0.84512,
01/08/2013,Fidelity Index World P Acc,0.84268,
01/09/2013,Fidelity Index World P Acc,0.8443,
01/10/2013,Fidelity Index World P Acc,0.84755,
01/11/2013,Fidelity Index World P Acc,0.84918,
01/14/2013,Fidelity Index World P Acc,0.85405,
01/15/2013,Fidelity Index World P Acc,0.85324,
01/16/2013,Fidelity Index World P Acc,0.85243,
01/17/2013,Fidelity Index World P Acc,0.85487,
01/18/2013,Fidelity Index World P Acc,0.86462,
01/21/2013,Fidelity Index World P Acc,0.86787,
01/22/2013,Fidelity Index World P Acc,0.86868,
01/23/2013,Fidelity Index World P Acc,0.87193,
01/24/2013,Fidelity Index World P Acc,0.87356,
01/25/2013,Fidelity Index World P Acc,0.88168,
01/28/2013,Fidelity Index World P Acc,0.88656,
01/29/2013,Fidelity Index World P Acc,0.88493,
01/30/2013,Fidelity Index World P Acc,0.889,
01/31/2013,Fidelity Index World P Acc,0.88412,
02/01/2013,Fidelity Index World P Acc,0.8825,
02/04/2013,Fidelity Index World P Acc,0.89144,
02/05/2013,Fidelity Index World P Acc,0.88493,
02/06/2013,Fidelity Index World P Acc,0.89225,
02/07/2013,Fidelity Index World P Acc,0.88981,
02/08/2013,Fidelity Index World P Acc,0.88493,
02/11/2013,Fidelity Index World P Acc,0.89144,
02/12/2013,Fidelity Index World P Acc,0.8955,
02/13/2013,Fidelity Index World P Acc,0.902,
02/14/2013,Fidelity Index World P Acc,0.90037,
02/15/2013,Fidelity Index World P Acc,0.90362,
02/18/2013,Fidelity Index World P Acc,0.90281,
02/19/2013,Fidelity Index World P Acc,0.90525,
